Id,Name,OwnerId
44e471fe-4eda-4f4d-8765-c0645a57f5b0,Big_Boi_Clan,e4655fe0-affd-4323-b022-bdb2ebde6091
8c52e4b6-efb8-41b2-922a-f08889bbdeeb,small_boi_clan,3cfa1ec7-7aca-4f32-a72b-45b2200b0efd
03de741c-84f9-4a8f-92a2-3c1937d621ea,Canada_Melee_Clan,d882734e-f7b8-4145-a145-55fc078348f7
4cc0f531-730c-4b6e-82fe-b3d57bc4655d,Team_Beer,d5168aa0-9cf1-4e50-be44-40bfbc597b4c
2dc70eda-6857-445c-9b38-70d3a492102d,Clown9,ff6de857-fd35-461c-983c-96c52eddb9b9
0828e0fb-0af5-4eac-a78f-649786eba6d7,TBSDM,d1c55bb2-165e-47a1-9304-a428a103d9d8
1d85b5ad-965d-44f0-967a-f5b7f6cedb96,Clutch_Bruler_Gaming,155ad390-f086-40c0-9ccd-7a4e4b76dab2
90d6cc48-0ced-4bf9-8e3d-789f6d468250,Clearly_Less_Good,04c9a253-6d47-429e-8d7b-a01f985e5d82
3d20004f-6408-42c0-8b83-711272799d1e,BLT_GAMING,ed5fa11b-4467-4da2-ad82-370c862f67c3
d37fe6c8-fe6d-44ce-b220-2cc89c111da0,Rainbow_Puppies,a30eaa5a-df71-4c68-a8e8-3b9e87dc2083
08c9a53a-0b33-4f06-a717-599266a556b7,Dinde_Rotie_Gaming,901feb5d-1046-4117-98ed-3f1cea707a1f
adeb18d9-0fe2-4ed3-adc0-5e923e9325df,CLEMENTOL_ARMADA,e2ec188e-cd70-41ba-b415-4291dc16dd0b
52dc2f21-903d-443c-8f31-835f4b5b7bb6,Cursed,87f91c48-2bcb-48fd-988e-d47cc6d6b9d6
eac30dea-8a10-4c6b-bb41-19af803cca68,Fox_fox_fox_fox_fox_fox,8e21a7e7-592e-471f-b892-c399728bd9df
f4da0fe0-6426-4094-80ee-a20e3ab8ec90,Team_Gaz,2cb13044-43b3-44c9-8a1e-de6a635a8490
4f2f42df-69d2-4569-bb67-259c8379f354,We_are_Team_Number_1,abab6138-bb0c-4a48-8f53-f1d1c8ce2154
578860a2-9e92-4e2c-b14f-9421bc302dad,Toxic_Field_1,733ea20d-cacb-4e2f-b58f-aa082a403751
4561bafa-7392-4304-8cdb-54213b6a2d41,Toxic_Field_2,1fd723b3-efc5-4269-a443-0174121f99f2
